formulary_name,med_name_generic,med_action_dose_unit
Cefepime 2gm Desensitization Rx Protocol- initiate,Cefepime 2gm Desensitization Rx Protocol- initiate,2
Cefotaxime 1 gm inj,cefotaxime,6
Cefotaxime 50mg/mL neonate syringe,cefotaxime in syringe,108
Cefoxitin 1gm in Iso Dex,cefoxitin in iso dex,2264
Cefoxitin 1gm in NS,cefOXitin in NS,57
Cefoxitin 2gm in Iso Dex,cefoxitin in iso dex,8513
Cefoxitin 2gm in NS,cefOXitin in NS,1000
Ceftaroline 400 mg inj,ceftaroline,6123
Ceftaroline 600 mg inj,ceftaroline,17749
Ceftazidime 10mg/mL 2mL lock soln.,ceftazidime lock soln.,5
Ceftolozane-Tazobactam 1500mg inj,ceftolozane-tazobactam,6239
Ceftriaxone 1gm/ 50mL NS,ceftriaxone in NS,2105
Ceftriaxone 1gm/50 mL Iso-Dex,ceftriaxone in iso-dex,52262
Ceftriaxone 1gm/50 mL NS,ceftriaxone in NS,20410
Ceftriaxone 250 mg for neonate,ceftriaxone,2
Ceftriaxone 250 mg inj,ceftriaxone,208
Ceftriaxone 250mg/mL IM neonate syringe,ceftriaxone,9
Ceftriaxone 2gm/50 mL Iso-Dex,ceftriaxone in Iso-Dex,47463
Ceftriaxone 2gm/50 mL NS,ceftriaxone in NS,11746
Ceftriaxone 40mg/mL/ neonate syringe,ceftriaxone in syringe,2
Ceftriaxone 40mg/mL/NS neonate syringe,ceftriaxone in NS syringe,1
Cefuroxime 1500 mg inj,cefuroxime,10250
Cefuroxime 1500mg/NS 100mL IVPB,cefuroxime in ns,35271
Cefuroxime 750 mg inj,cefuroxime,23
Cefuroxme 1.5 gm/50 mL Iso-Dex,cefuroxime in iso-dex,1946
Celecoxib 100 mg cap,celecoxib,3
Celecoxib 200 mg cap,celecoxib,32
Central Parenteral Nutrition,Central Parenteral Nutrition (hyperal),1352817
Central TPN,Central TPN,127859
Cetuximab 2 mg/mL 100mL,cetuximab,3
Chloramphenicol 1gm inj,chloramphenicol,9
Chloraseptic throat spray,chloraseptic,1
Chloroprocane-MPF 3% inj,chloroprocaine 3%,2
Chlorothiazide 125 mg in syringe,chlorothiazide syringe,841
Chlorothiazide 250 mg in syringe,chlorothiazide syringe,3396
Chlorothiazide 250 mg tab,chlorothiazide,1
Chlorothiazide 50 mg/1 mL liq Extemp,chlorothiazide,5
Chlorothiazide 500 mg inj,chlorothiazide,29588
Chlorothiazide 500 mg injection,chlorothiazide,3087
ChlorproMAZINE 25 mg/1 mL inj,chlorproMAZINE,197
Chromic 4 mcg/ml Inj,chromic chloride,114
Cidofovir 375 mg/ 5mL inj,cidofovir,45
Ciprofloxacin 200 mg/20 mL inj,ciprofloxacin,12
Ciprofloxacin 400 mg/40 mL inj,ciprofloxacin,33
Ciprofloxacin 500 mg tab,ciprofloxacin,1
Cisatracurium 10 mg/mL  20 mL inj,cisatracurium,135832
Cisatracurium 2 mg/mL 10 mL inj,cisatracurium,714
Cisatracurium 2mg/mL 10mL syringe,cisatracurium,5
Citric Acid-Na Citrate (Bicitra)30 mL,citric acid-na citrate,19
Cladribine 10 mg/10 mL inj,cladribine,10
Clindamycin 15 mg/mL 100mL susp,clindamycin,1
Clindamycin 600 mg inj,clindamycin,578
Clindamycin 600 mg/50 mL D5W,clindamycin in d5w,28328
Clindamycin 900 mg inj,clindamycin,747
Clindamycin 900 mg/50 mL D5W,clindamycin in d5w,40914
Clindamycin 900 mg/50mL NS IVPB,clindamycin in ns,7960
ClonIDINE 0.3 mg/24 hr patch,clonIDINE,1
