Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
609,DiphenhydrAMINE 25 mg/10 mL liq,diphenhydrAMINE,Not Recorded,10.0 mL,10,mL,10.0,,25.0 mg,mg,25.0,25.0 mg/10.0 ML,True,False,False
610,DiphenhydrAMINE 25mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded,none,40,,,,25.0 mg,mg,25.0,none,True,False,False
611,DiphenhydrAMINE 50 mg cap,diphenhydrAMINE,Not Recorded,none,21,,,,50.0 mg,mg,50.0,none,False,False,False
612,DiphenhydrAMINE 50 mg/1 mL inj,diphenhydrAMINE,Not Recorded,1.0 mL,284906,mL,1.0,,50.0 mg,mg,50.0,50.0 mg/1.0 ML,False,False,False
613,DiphenhydrAMINE 50mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded,none,202,,,,50.0 mg,mg,50.0,none,True,False,False
614,Disposable elastomeric pump,disposable elastomeric pump,Not Recorded,none,1,,,,none,,,none,True,False,False
615,Docusate Sodium 100 mg cap,docusate,Not Recorded,none,1,,,,100.0 mg,mg,100.0,none,False,False,False
616,Dofetilide 250 mcg cap,dofetilide,Not Recorded,none,1,,,,250.0 mcg,mcg,250.0,none,False,False,False
617,Doripenem 250 mg inj,doripenem,Not Recorded,none,62,,,,250.0 mg,mg,250.0,none,False,False,False
618,Doripenem 500 mg inj,doripenem,Not Recorded,none,8405,,,,500.0 mg,mg,500.0,none,False,False,False
619,Doxorubicin 2  mg/ 1 mL inj,doxorubicin,Not Recorded,1.0 mL,26,mL,1.0,,2.0 mg,mg,2.0,2.0 mg/1.0 ML,False,False,False
620,Doxorubicin PFS 10mg/5mL inj,doxorubicin,Not Recorded,5.0 mL,38,mL,5.0,,10.0 mg,mg,10.0,10.0 mg/5.0 ML,False,False,False
621,Doxycycline 100 mg cap,doxycycline,Not Recorded,none,3,,,,100.0 mg,mg,100.0,none,False,False,False
622,Doxycycline 100 mg inj,doxycycline,Not Recorded,none,6078,,,,100.0 mg,mg,100.0,none,False,False,False
623,Doxycycline 100mg IVPB,doxycycline in ns,Not Recorded,none,13361,,,,100.0 mg,mg,100.0,none,True,False,False
624,Doxycycline 1mg/mL NS peds syringe,doxycycline/ns syringe,Not Recorded,none,2,,,,1.0 mg,mg,1.0,none,False,False,False
625,Doxycycline 50mg cap,doxycycline,Not Recorded,none,1,,,,50.0 mg,mg,50.0,none,False,False,False
